Usuario,Sentimiento
Xstal,Positiva
bachito1996,Positiva
PedroPires90,Positiva
benlenzen,Positiva
grangaard-54231,Positiva
mipema,Positiva
rfndayitabi,Positiva
CinemaClown,Positiva
brockfal,Positiva
rafaelcr44,Positiva
punch87,Positiva
grondonamanu,Positiva
JurijFedorov,Positiva
antoniojvargas,Positiva
larosafederiko,Positiva
QamilaFer,Positiva
jjhurta,Positiva
cohen_jack,Positiva
Sees All,Positiva
alexthomaspp,Positiva
gortx,Positiva
AnaZeta_,Positiva
martinpersson97,Positiva
urkus,Positiva
samratmitrafeb14,Positiva
